STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BODRUM METEOROLOJI MUDURLUGU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4809
STATION COORDINATES     : 37.03304N-27.43997E
STATION ALTITUDE (m)    : 25
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : T5J71/A1167
RECORD TIME             : 24/07/2017 06:59:25.000000 (GMT)
NUMBER OF DATA          : 2333
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.669047 (E-W) 0.516467 (U-D) 0.437384
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.012918     -0.026443     0.001042
   -0.007900      0.054182     0.007788
    0.016008     -0.070823    -0.005603
   -0.011014      0.063550     0.010719
   -0.006077      0.001446    -0.016541
    0.012832     -0.067365     0.004399
   -0.019059      0.066268    -0.001916
    0.027589     -0.054961     0.009893
   -0.019198      0.050821    -0.000461
    0.017274     -0.029059    -0.004551
   -0.013910      0.012232    -0.004041
   -0.010128     -0.003019    -0.002435
    0.011700     -0.008029     0.014440
    0.000811      0.013585    -0.012192
    0.000098     -0.009545     0.003511
    0.001908     -0.008392     0.005258
    0.004418     -0.003580     0.001182
   -0.004547      0.036729    -0.005439
    0.003636     -0.050235    -0.003240
   -0.024729      0.033876     0.007193
    0.028824     -0.016920     0.014200
   -0.004762      0.021871    -0.013698
   -0.000881     -0.001667     0.000834
   -0.001599     -0.025373    -0.004381
   -0.012827      0.016581     0.007510
    0.007592     -0.014093     0.003464
    0.013300      0.017208    -0.003279
   -0.013640     -0.000762    -0.001791
   -0.003256     -0.029532     0.010206
    0.011224      0.046351    -0.009688
   -0.000424     -0.021927    -0.008687
    0.000954     -0.021288     0.014932
   -0.011520      0.040799    -0.010401
    0.004576     -0.048313     0.005182
    0.004788      0.040465     0.010373
    0.001576     -0.006152    -0.011040
   -0.010141     -0.020462     0.003433
    0.004699      0.043082     0.004871
   -0.002837     -0.029331    -0.014733
    0.009859     -0.023177     0.010116
   -0.004111      0.045493    -0.002062
    0.001191     -0.027914     0.006995
    0.003902     -0.000922    -0.011513
   -0.017860      0.018609     0.011665
    0.015819     -0.006491    -0.008871
    0.000979     -0.001637     0.005717
   -0.008670      0.000804    -0.006452
    0.008057     -0.009304    -0.007365
   -0.002976     -0.014342     0.022768
   -0.012501      0.035685    -0.008827
    0.020376     -0.009188    -0.006810
   -0.009772     -0.020661    -0.001822
   -0.015261      0.011982     0.011936
    0.028320      0.008052    -0.009563
   -0.015513     -0.014850     0.003440
    0.013025      0.002986    -0.000224
   -0.018034      0.019700     0.004451
    0.010407     -0.028597    -0.013830
   -0.000682      0.024162     0.012486
    0.000965     -0.007118     0.001765
   -0.001166     -0.007728    -0.002414
   -0.011917      0.007304     0.001630
    0.013718     -0.004690    -0.003247
   -0.010375      0.029008    -0.008593
    0.019767     -0.054559     0.008074
   -0.032841      0.052288     0.003263
    0.021410     -0.039856    -0.005127
    0.009181      0.015548     0.009408
   -0.010383      0.009992    -0.013029
   -0.008553     -0.007508     0.010134
    0.010593      0.015756    -0.011624
    0.003953     -0.040613     0.008808
   -0.023379      0.041514     0.003854
    0.024636     -0.028303    -0.014508
   -0.013552      0.020408     0.004621
   -0.000736     -0.030526     0.008609
    0.013454      0.037320    -0.005352
   -0.006975     -0.018874     0.004815
   -0.002561     -0.004174     0.002605
    0.003172      0.023748     0.005325
    0.010202     -0.033542    -0.014309
   -0.019068      0.010163     0.000697
    0.009065      0.009856     0.010422
    0.011855      0.001795    -0.009622
   -0.021065     -0.013358    -0.000421
    0.009272     -0.014371     0.001964
   -0.003111      0.035322     0.009495
    0.015013     -0.013898    -0.005231
   -0.012250     -0.003468    -0.000421
    0.002325      0.016142    -0.008240
    0.022322     -0.025195     0.010012
   -0.026581      0.029275     0.003067
    0.002392     -0.039409    -0.005695
   -0.002596      0.032560     0.001341
    0.006369     -0.023396     0.003814
    0.002030      0.022105    -0.004467
   -0.007752     -0.003236    -0.008909
    0.008346     -0.012975     0.015573
   -0.005401      0.007177    -0.005396
    0.017629     -0.009779    -0.005211
   -0.012874      0.022172     0.009251
    0.003594     -0.025775    -0.011068
   -0.006321      0.008241     0.009584
   -0.006620      0.006016    -0.002451
    0.011187     -0.004132    -0.002145
   -0.006114     -0.009844    -0.001061
    0.018272      0.033812     0.003620
   -0.002485     -0.032869     0.000182
   -0.008370      0.001824    -0.000618
   -0.009536      0.006618    -0.005846
    0.015861     -0.011639     0.002941
   -0.014926      0.009136     0.009944
    0.003287      0.010171    -0.008121
    0.017512     -0.009853     0.000669
