STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA OREN BELEDIYE
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4819
STATION COORDINATES     : 37.03130N-27.97120E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 53977/101913
RECORD TIME             : 24/07/2017 06:59:24.000000 (GMT)
NUMBER OF DATA          : 5526
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.991951 (E-W) 1.205569 (U-D) 0.840702
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.014033     -0.009615     0.012994
   -0.000780      0.014033     0.000520
    0.011435     -0.004678    -0.007796
   -0.013254     -0.008056     0.000260
   -0.007536     -0.000260     0.003638
    0.000520     -0.013254     0.005457
    0.003898      0.023649    -0.016112
    0.010395      0.001559    -0.019491
   -0.012214     -0.002339    -0.014293
   -0.003119     -0.014553     0.006497
   -0.016112     -0.000260     0.027807
   -0.000520      0.010655     0.020530
    0.001559     -0.020530     0.016892
    0.012474      0.011694    -0.004678
    0.007017      0.007536    -0.015333
   -0.011954     -0.005977    -0.002079
    0.012474     -0.004938    -0.001040
   -0.006757     -0.001299    -0.012994
   -0.003378     -0.011435    -0.010655
   -0.019751      0.000520     0.006757
   -0.004938      0.030665    -0.007017
    0.006497      0.008836    -0.016632
   -0.002079     -0.007017     0.004938
    0.020530     -0.007796     0.007796
   -0.005977      0.007017    -0.003119
   -0.004418     -0.001819    -0.004678
   -0.014813      0.006757    -0.004158
   -0.001819     -0.001819     0.012214
    0.004158     -0.005977     0.010915
    0.000780      0.012994    -0.007277
    0.009096     -0.016372     0.000520
   -0.015333      0.001299    -0.002079
   -0.002079     -0.012734     0.006757
   -0.012734      0.000520     0.010915
    0.002079      0.008316     0.005198
    0.002859     -0.011175     0.016112
    0.004158      0.009356     0.004418
    0.001559     -0.006497     0.002339
   -0.016892      0.009615     0.004938
    0.011694      0.002859    -0.005977
   -0.007796      0.001819    -0.016112
    0.004938     -0.012474    -0.015593
   -0.003898     -0.015593    -0.005717
   -0.010655      0.013254     0.000260
    0.002599      0.003638     0.004938
   -0.000260      0.007536     0.000780
    0.014293      0.000260    -0.012214
   -0.014813      0.002859    -0.017672
   -0.007277     -0.010135     0.003378
   -0.005198     -0.006757     0.022869
    0.010135     -0.000520     0.024169
    0.015073     -0.000520     0.014293
    0.012474     -0.000260    -0.001299
    0.015852      0.000520    -0.007277
   -0.018971      0.025208    -0.019751
   -0.005717     -0.017932    -0.016632
   -0.010395     -0.025468     0.014813
    0.006497      0.002339     0.019491
   -0.000520      0.010135    -0.005457
   -0.003119     -0.005977     0.001559
    0.009615      0.001819     0.009356
   -0.018971      0.025988    -0.004678
    0.009615     -0.024169     0.003898
   -0.000780     -0.005977    -0.000520
    0.004158     -0.000260    -0.007536
    0.001299      0.002859    -0.010655
   -0.011954      0.009875    -0.004678
   -0.002599     -0.009615     0.007277
   -0.008056      0.008316    -0.005977
    0.006497     -0.014033    -0.002859
